SampleID,Depth_m,S1Magnitude_MPa,S1Bearing_deg,S1Plunge_deg,S2Magnitude_MPa,S2Bearing_deg,S2Plunge_deg,S3Magnitude_MPa,S3Bearing_deg,S3Plunge_deg,Sxx_Mpa,Syy_MPa,Szz_Mpa,Theta_deg
HI-01,360,27.1,76,7,20.2,174,51,16.5,340,38,26.42,18.52,18.86,59.24
HI-02,480,21.9,102,16,17.1,203,34,14.7,351,51,21.3,16.51,15.89,35.89
HI-03,388,40,291,15,37.7,200,4,15.9,95,75,37.97,37.93,17.7,1.21
HI-04,407,25.3,287,1,16.6,197,13,11.3,20,77,24.54,17.08,11.58,28.19
HI-05,555,42.7,162,6,27.1,254,14,22.1,51,75,28.5,40.73,22.67,154.44
HI-06,635,26.5,306,16,19,47,34,13.4,195,52,23.35,19.27,16.28,13.92
HI-07,635,32.1,317,10,20.5,226,5,12.8,110,78,25.5,26.53,13.37,177.32
HI-08,665,36.7,185,10,24.9,278,15,16.1,62,72,24.25,36.11,17.34,132.47
HI-09,727,35.7,322,2,27.1,232,13,18.3,62,77,30.21,32.1,18.79,174
HI-10,498,29.3,140,22,16.7,49,3,15.3,312,68,21.08,22.91,17.31,175.03
HI-11,376,15.3,120,9,9,19,50,7.6,217,38,13.3,10.07,8.54,13.96
HI-12,284,6.2,148,19,5.6,240,6,4.5,347,70,5.74,5.87,4.69,171.1
HI-13,482,27.1,324.5,10,19.5,226.5,37,17.5,66.5,51,21.24,24.42,18.45,168.32
HI-14,601,43,176,12,39.4,83,15,31.6,303,70,39.01,42.58,32.4,136.68
HI-15,575,28.5,233,21,22.5,343,42,18.7,124,40,24.45,23.79,21.46,87.23
HI-16,569,19.5,181,20,9.1,342,69,7.6,89,6,7.63,18.27,10.3,134.53
HI-17,474,23.5,141,3,14.2,245,76,11.6,51,14,16.56,18.63,14.11,174.95
HI-18,474,36.9,119,8,20.3,28,11,9.7,243,77,32.38,23.86,10.66,15.6
HI-19,538,26.2,291,2,21.8,22,17,17.7,196,73,25.72,21.9,18.08,26.6
HI-20,589,24.7,346,10,18.5,256,5,11.7,137,79,18.89,23.86,12.16,150.78
AE-01,216.93,13.4,283,7,9.1,190,24,5.4,28,65,12.97,8.79,6.14,30.15
AE-02,377.93,17.5,317,5,11,225,27,7.6,56,63,13.52,14.15,8.43,177.5
AE-03,507.93,22.1,320,8,15.8,54,24,11.9,213,65,18.22,18.77,12.82,177.7
AE-04,536.93,31.2,316,17,19.4,47,4,16.4,150,73,24.45,24.8,17.76,179.04
AE-05,638.93,33.5,304,8,22.3,37,22,15.6,196,66,29.72,24.88,16.8,12.19
DRA-01,1065.04,37.7,192.7,44.7,34.8,84.2,17.7,22.1,338.7,39.9,33.9,29.74,30.96,71.99
DRA-02,861.83,21.6,245.1,78.5,17.2,145.8,1.9,11.6,55.4,11.4,13.69,15.5,21.21,169.85
DRA-03,1978.12,68.6,343.5,59.4,39.6,78.9,3.2,23.98,170.7,30.4,39.91,35.18,57.09,42.25
DRA-04,972.32,36.2,4.9,26.4,28.1,252.9,37,19.3,121,41.6,24.51,33.24,25.84,118.92
DRA-05,1594.53,64.5,196.5,54.1,51.9,301.3,10.5,38.3,38.4,33.9,48.6,50.14,55.96,173.63
OLY1,102.93,32,312.48,0,12,222.48,13,5.4,44.48,77,22.74,20.93,5.73,2.55
